"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000130988";10395;-10,4640910853476;1;0
"ENSG00000135447";9620;-10,4611565103229;1;0
"ENSG00000084674";677;-10,4610907707693;1;0
"ENSG00000145244";3083;10,4577507752352;1;0
"ENSG00000079337";10183;-10,4457880008956;1;0
"ENSG00000152527";9370;-10,4204171220637;1;0
"ENSG00000169515";2355;-10,4159491544227;1;0
"ENSG00000137033";6161;-10,4150688372906;1;0
"ENSG00000119138";6706;-10,4040411442381;1;0
"ENSG00000114346";3977;10,3921748937734;1;0
"ENSG00000182492";1213;10,3708373534976;1;0
"ENSG00000112964";5184;-10,3702549930297;1;0
"ENSG00000183145";3861;10,3694119259693;1;0
"ENSG00000115361";117;-10,3684771020327;1;0
"ENSG00000139946";9063;-10,335670035689;1;0
"ENSG00000169744";6882;-10,3328523375396;1;0
"ENSG00000182010";10774;10,3309323863771;1;0
"ENSG00000106327";12450;10,3131143321632;1;0
"ENSG00000085563";51;-10,3021681236448;1;0
"ENSG00000113971";8457;-10,2952920345027;1;0
"ENSG00000164330";3955;-10,293321562453;1;0
"ENSG00000162896";9217;-10,288192646954;1;0
"ENSG00000134668";11874;10,2866562776667;1;0
"ENSG00000196616";273;-10,2826066025698;1;0
"ENSG00000004846";53;-10,2785991564223;1;0
"ENSG00000145020";506;-10,2735910354561;1;0
"ENSG00000105464";5505;10,264292798039;1;0
"ENSG00000132031";7402;10,2528715707471;1;0
"ENSG00000156298";13154;-10,245096082482;1;0
"ENSG00000054967";10339;10,2294580869991;1;0
"ENSG00000135094";10981;10,210801146125;1;0
"ENSG00000266524";5136;-10,2091070515754;1;0
"ENSG00000141526";11356;10,2090023840545;1;0
"ENSG00000104490";8136;-10,2080616705625;1;0
"ENSG00000124743";6736;-10,2005888828752;1;0
"ENSG00000172927";7994;-10,1939456906033;1;0
"ENSG00000180596";5767;10,1889208987619;1;0
"ENSG00000170145";11277;-10,1846246928495;1;0
"ENSG00000154188";519;-10,1814227249507;1;0
"ENSG00000138722";7694;-10,1708691840746;1;0
"ENSG00000152779";11351;-10,1574528673092;1;0
"ENSG00000101463";12802;10,1520454647948;1;0
"ENSG00000150337";4745;10,140238864336;1;0
"ENSG00000115353";12217;-10,1356526739188;1;0
"ENSG00000102100";11479;10,1347774625723;1;0
"ENSG00000130477";13427;10,1345599986268;1;0
"ENSG00000187134";409;-10,1310762508124;1;0
"ENSG00000117016";10467;-10,1213941978257;1;0
"ENSG00000092421";11039;-10,120231401161;1;0
"ENSG00000161800";10120;10,1158179195395;1;0
"ENSG00000203812";5771;10,1140781005438;1;0
"ENSG00000163467";1691;10,0983428059856;1;0
"ENSG00000164109";7248;10,0938037396454;1;0
"ENSG00000178385";9375;-10,0861376978264;1;0
"ENSG00000187800";9053;-10,0855850428587;1;0
"ENSG00000145194";3965;10,0821206663962;1;0
"ENSG00000095713";3194;-10,077295113763;1;0
"ENSG00000120334";2659;10,076626590812;1;0
"ENSG00000104889";10496;10,0764233121072;1;0
"ENSG00000153993";11027;-10,0725892763917;1;0
"ENSG00000167513";2621;10,0658777611407;1;0
"ENSG00000162063";2396;10,0631657945456;1;0
"ENSG00000248144";274;-10,0534750866466;1;0
"ENSG00000187037";5399;10,0503997052994;1;0
"ENSG00000104522";13168;10,0418336272375;1;0
"ENSG00000115295";2895;-10,037508253638;1;0
"ENSG00000106511";7528;-10,0339140873944;1;0
"ENSG00000092964";3844;-10,0212162359613;1;0
"ENSG00000154265";45;-10,0179420406763;1;0
"ENSG00000131730";2838;-10,0073875560969;1;0
"ENSG00000167553";13231;10,0058593862433;1;0
"ENSG00000144031";574;-10,0047487869415;1;0
"ENSG00000165092";427;-9,99966623165228;1;0
"ENSG00000166292";12627;-9,99875007157494;1;0
"ENSG00000183549";177;-9,99449371184932;1;0
"ENSG00000007314";10930;-9,979581724179;1;0
"ENSG00000188322";10883;9,9698470184579;1;0
"ENSG00000124942";364;-9,96893513042788;1;0
"ENSG00000106278";9973;-9,96707249667077;1;0
"ENSG00000166405";10452;-9,9638246863027;1;0
"ENSG00000149575";10927;-9,95592333657247;1;0
"ENSG00000164946";4948;-9,95574105587194;1;0
